"","Weather","Herbicide_Application","Manure","Weeds","Fungicide_Application","Nitrogen","Fertilizer_Application","Filter_Cake","Amount_of_N_Fertilizer","Type_of_N_Fertilizer","Mechanical_Cultivation","Pests_and_Disease","Soil","Yield","Water_Application","Hand_Weeding","Potash","Compound_D","Single_Supers","Timing_of_Dressings","Trash_Burning","Heat_Treatment","Pesticide_Application"
"1","unfavourable","yes","yes","dirty","no","not_effective","not_effective","yes","0.5","AN","yes","free","good","0_to_70","0.75","less","no","no","no","right","yes","no","no"
"2","unfavourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","urea","yes","free","poor","0_to_70","1","lots","yes","yes","yes","wrong","yes","no","no"
"3","favourable","yes","yes","dirty","no","not_effective","effective","yes","1","AN","yes","free","good","0_to_70","0.75","lots","no","yes","yes","wrong","yes","yes","yes"
"4","unfavourable","yes","yes","clean","yes","effective","not_effective","no","0.5","AN","yes","infested","good",">=_100","0.5","less","yes","yes","yes","right","no","no","yes"
"5","favourable","yes","no","clean","yes","not_effective","effective","yes","0.5","urea","no","infested","good","0_to_70","0.5","less","yes","no","no","wrong","yes","yes","yes"
"6","favourable","yes","no","clean","no","not_effective","not_effective","no","1","AN","no","infested","poor",">=_100","1","lots","no","yes","yes","wrong","no","yes","yes"
"7","favourable","no","no","dirty","yes","effective","effective","no","1","urea","no","infested","poor",">=_100","0.75","lots","no","no","yes","wrong","yes","yes","yes"
"8","favourable","no","yes","dirty","no","effective","not_effective","no","0.5","AN","no","infested","good","0_to_70","0.5","less","yes","no","no","right","yes","no","yes"
"9","favourable","no","no","dirty","no","effective","not_effective","yes","1","urea","yes","infested","poor","70_to_100","1","less","yes","yes","yes","wrong","no","no","no"
"10","unfavourable","yes","yes","clean","no","not_effective","effective","yes","0.5","urea","yes","free","poor",">=_100","0.75","lots","yes","no","yes","right","no","yes","yes"
"11","favourable","no","no","dirty","yes","effective","not_effective","yes","1","AN","no","free","good","70_to_100","1","less","yes","no","no","right","no","yes","no"
"12","favourable","no","no","clean","no","not_effective","effective","no","1","AN","yes","infested","poor","70_to_100","1","less","no","no","no","right","no","yes","yes"
"13","favourable","yes","yes","clean","yes","not_effective","not_effective","no","0.5","AN","yes","infested","poor","0_to_70","0.75","lots","no","no","yes","right","no","no","yes"
"14","favourable","no","yes","clean","yes","not_effective","effective","yes","1","AN","yes","free","good",">=_100","0.75","less","yes","yes","no","wrong","no","yes","yes"
"15","favourable","yes","no","dirty","yes","not_effective","not_effective","yes","1","AN","no","infested","poor",">=_100","1","less","no","no","yes","wrong","yes","yes","no"
"16","favourable","yes","no","dirty","yes","not_effective","effective","no","0.5","AN","yes","infested","good","0_to_70","1","lots","no","yes","yes","right","yes","yes","yes"
"17","unfavourable","no","no","clean","no","not_effective","not_effective","yes","0.5","AN","no","free","good","70_to_100","0.75","lots","yes","no","yes","right","no","no","yes"
"18","unfavourable","no","no","clean","yes","effective","effective","no","0.5","urea","yes","free","good",">=_100","1","less","no","yes","no","wrong","yes","yes","no"
"19","unfavourable","yes","no","clean","yes","not_effective","effective","yes","0.5","AN","yes","free","poor",">=_100","0.75","less","no","no","no","wrong","no","yes","no"
"20","unfavourable","no","no","dirty","yes","not_effective","effective","yes","1","AN","yes","free","good",">=_100","0.75","lots","yes","no","yes","right","yes","yes","yes"
"21","favourable","no","yes","clean","yes","not_effective","effective","no","0.5","AN","yes","infested","poor","0_to_70","0.75","lots","yes","yes","yes","wrong","no","no","no"
"22","unfavourable","no","no","dirty","yes","not_effective","not_effective","yes","0.5","AN","yes","free","good",">=_100","0.75","lots","no","no","yes","right","no","yes","no"
"23","unfavourable","yes","no","dirty","no","not_effective","effective","yes","1","AN","yes","free","poor",">=_100","1","less","no","no","no","wrong","yes","yes","no"
"24","unfavourable","no","no","clean","yes","not_effective","effective","no","1","AN","no","free","poor","0_to_70","0.5","less","no","yes","yes","right","yes","yes","yes"
"25","favourable","no","yes","dirty","no","not_effective","effective","yes","0.5","AN","no","free","good",">=_100","1","lots","no","yes","yes","wrong","no","yes","no"
"26","favourable","no","no","dirty","yes","effective","not_effective","no","0.5","AN","no","infested","poor",">=_100","1","lots","no","yes","no","wrong","yes","no","yes"
"27","unfavourable","no","no","clean","yes","not_effective","not_effective","yes","1","urea","yes","free","poor","70_to_100","1","lots","yes","no","no","wrong","yes","yes","no"
"28","favourable","no","no","dirty","yes","effective","not_effective","yes","1","urea","no","free","good","0_to_70","0.5","less","no","no","yes","wrong","no","yes","no"
"29","favourable","no","yes","clean","no","effective","not_effective","yes","0.5","AN","no","free","good","70_to_100","1","lots","no","yes","yes","right","no","no","yes"
"30","favourable","no","yes","clean","yes","effective","not_effective","no","0.5","AN","no","free","good","70_to_100","1","less","yes","no","yes","right","no","no","no"
"31","favourable","no","no","dirty","yes","not_effective","not_effective","no","0.5","AN","no","infested","good",">=_100","1","lots","yes","no","no","right","yes","no","no"
"32","unfavourable","no","yes","clean","no","effective","effective","yes","0.5","urea","yes","free","poor","0_to_70","0.5","lots","yes","no","no","right","no","no","yes"
"33","favourable","yes","yes","dirty","no","effective","effective","no","0.5","urea","no","infested","good","70_to_100","1","lots","no","no","yes","wrong","no","no","no"
"34","favourable","yes","yes","dirty","no","not_effective","not_effective","yes","1","AN","no","infested","good","0_to_70","0.75","less","yes","no","yes","right","no","yes","yes"
"35","favourable","yes","no","clean","yes","not_effective","not_effective","yes","1","AN","yes","infested","good",">=_100","1","less","yes","no","no","right","no","yes","no"
"36","unfavourable","no","no","dirty","yes","effective","effective","no","1","urea","no","infested","good","70_to_100","0.5","lots","yes","no","yes","wrong","no","no","yes"
"37","unfavourable","yes","no","dirty","no","not_effective","not_effective","yes","0.5","urea","yes","infested","poor","70_to_100","1","less","yes","yes","no","wrong","yes","no","yes"
"38","unfavourable","yes","no","dirty","no","not_effective","effective","yes","0.5","AN","no","free","good","0_to_70","0.5","less","yes","yes","no","wrong","no","no","no"
